tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,icon
29.8,20.6,25.3,31.0,20.6,25.6,18.3,66.5,18.31,29.17,0.0,0.0,47.1,29.4,155.6,1010.3,52.8,14.3,199.9,13.7,7,0.64,rain
21.7,17.1,19.4,21.7,17.1,19.4,15.4,78.63,29.51,58.33,0.0,0.0,48.2,33.0,76.3,1010.4,76.0,12.7,100.2,8.7,4,0.68,rain
24.4,18.8,21.7,24.4,18.8,21.7,14.5,65.11,0.01,4.17,0.0,0.0,31.921781475355555,18.0,135.1,1013.6,43.5,16.0,281.5,22.3,9,0.73,rain
24.5,20.5,22.8,24.5,20.5,22.8,15.4,63.44,0.0,0.0,0.0,0.0,38.00216799899634,23.5,170.3,1018.6,31.6,16.0,479.6,27.6,9,0.78,partly-cloudy-day
27.2,19.3,24.0,28.4,19.3,24.1,17.4,66.94,0.0,0.0,0.0,0.0,27.7,20.2,157.0,1023.7,17.3,16.0,480.9,26.0,9,0.83,clear-day
27.9,20.6,24.0,28.5,20.6,24.2,15.9,60.88,0.0,0.0,0.0,0.0,33.5,28.9,176.3,1024.0,38.5,16.0,430.4,24.8,9,0.87,partly-cloudy-day
33.8,20.5,27.0,34.4,20.5,27.7,17.9,59.77,0.0,0.0,0.0,0.0,44.4,27.6,222.3,1017.5,19.3,16.0,387.2,22.3,9,0.92,clear-day
33.3,24.2,29.0,35.5,24.2,30.2,20.2,60.52,0.29,8.33,0.0,0.0,35.3,23.9,240.5,1013.8,42.5,15.8,410.6,23.7,9,0.96,rain
35.6,23.3,29.1,37.2,23.3,30.9,21.1,63.75,0.0,0.0,0.0,0.0,37.1,25.5,197.5,1014.5,38.7,15.9,394.3,21.3,8,0.99,partly-cloudy-day
34.3,23.0,27.0,35.8,23.0,27.7,19.7,66.12,15.04,12.5,0.0,0.0,117.9,33.0,218.6,1015.6,33.6,15.3,274.5,17.8,8,1.0,rain
31.1,23.2,26.9,30.4,23.2,26.6,15.5,53.13,0.0,0.0,0.0,0.0,27.7,18.1,285.5,1017.0,39.0,16.0,287.5,22.8,8,0.0,partly-cloudy-day
27.3,20.4,24.1,27.0,20.4,24.1,12.2,48.13,0.0,0.0,0.0,0.0,32.03233395760357,18.1,204.8,1019.7,21.3,15.9,448.1,25.8,9,0.01,partly-cloudy-day
30.0,19.9,25.5,30.7,19.9,25.7,17.3,61.71,0.0,0.0,0.0,0.0,37.1,27.4,231.9,1015.7,58.2,16.0,272.8,14.7,6,0.04,partly-cloudy-day
28.8,22.3,24.5,28.9,22.3,24.5,17.9,67.69,0.0,0.0,0.0,0.0,38.22327296349237,23.7,188.6,1011.9,53.7,16.0,367.3,21.2,8,0.08,partly-cloudy-day
25.1,18.6,22.3,25.1,18.6,22.3,11.4,50.81,0.0,0.0,0.0,0.0,37.78106303450031,23.3,186.3,1014.9,31.7,16.0,435.0,25.1,9,0.13,partly-cloudy-day
24.0,17.8,21.6,24.0,17.8,21.6,18.3,81.55,0.0,0.0,0.0,0.0,34.022278638067824,19.9,131.7,1012.6,41.3,13.3,282.0,15.2,7,0.18,partly-cloudy-day
28.8,20.6,24.8,31.3,20.6,25.5,20.0,75.05,0.33,12.5,0.0,0.0,46.6,30.7,201.0,1010.3,45.8,15.0,196.9,10.6,5,0.24,rain
30.6,21.2,25.4,31.1,21.2,25.7,18.8,69.2,0.88,16.67,0.0,0.0,46.4,31.1,208.4,1005.0,60.7,14.7,212.1,16.0,7,0.29,rain
29.9,20.5,25.7,28.9,20.5,25.5,13.5,48.43,0.0,0.0,0.0,0.0,39.3,24.0,264.5,1004.9,29.5,16.0,371.1,20.0,7,0.34,partly-cloudy-day
27.8,21.0,23.5,27.1,21.0,23.4,11.0,45.83,0.0,0.0,0.0,0.0,48.0,27.5,285.4,1007.5,36.7,16.0,314.5,17.0,7,0.39,partly-cloudy-day
26.7,16.5,22.4,26.6,16.5,22.3,10.6,48.6,0.0,0.0,0.0,0.0,37.1,25.6,280.4,1013.3,31.3,16.0,364.7,19.7,8,0.43,partly-cloudy-day
29.9,18.2,25.4,29.4,18.2,25.2,13.5,48.92,0.0,0.0,0.0,0.0,37.1,23.7,252.5,1012.3,42.8,16.0,341.6,18.4,7,0.46,partly-cloudy-day
26.7,23.3,25.0,28.0,23.3,25.1,18.5,67.18,0.01,8.33,0.0,0.0,40.7,29.1,223.4,1008.5,61.2,16.0,151.4,8.2,4,0.48,rain
24.4,17.8,21.3,24.4,17.8,21.3,16.5,75.16,0.0,0.0,0.0,0.0,33.5,20.3,93.2,1010.9,54.0,14.0,282.7,15.3,6,0.5,partly-cloudy-day
23.0,17.2,19.3,23.0,17.2,19.3,16.1,82.53,0.0,0.0,0.0,0.0,36.45443324752414,22.1,73.8,1016.8,49.5,12.1,342.5,18.5,7,0.5,partly-cloudy-day
23.5,17.2,20.3,23.5,17.2,20.3,17.2,82.64,0.0,0.0,0.0,0.0,36.45443324752414,22.1,107.5,1018.0,54.6,12.1,336.6,18.2,7,0.51,partly-cloudy-day
23.0,19.4,21.0,23.0,19.4,21.0,18.1,83.47,0.0,0.0,0.0,0.0,36.233328283028115,21.9,109.4,1017.5,71.4,13.0,174.8,9.4,5,0.52,partly-cloudy-day
26.9,20.7,23.5,28.5,20.7,23.6,19.9,80.77,3.96,20.83,0.0,0.0,29.5,27.2,95.7,1015.6,63.8,12.8,216.3,14.8,6,0.54,rain
33.9,23.9,28.1,36.9,23.9,29.2,20.5,65.18,0.23,8.33,0.0,0.0,40.7,27.3,227.3,1013.7,43.8,15.8,292.1,15.8,7,0.57,rain
28.4,22.2,25.4,28.6,22.2,25.5,16.6,59.15,0.0,0.0,0.0,0.0,36.233328283028115,21.9,185.8,1016.9,37.4,16.0,350.6,18.9,7,0.61,partly-cloudy-day
30.7,20.6,25.1,33.9,20.6,25.8,19.8,73.14,1.73,29.17,0.0,0.0,44.6,27.3,188.7,1013.7,46.8,15.7,115.3,5.0,3,0.65,rain
33.8,22.2,27.4,35.6,22.2,28.4,19.3,64.21,0.0,0.0,0.0,0.0,38.9,23.9,237.4,1009.8,43.2,14.8,264.4,16.2,7,0.7,partly-cloudy-day
27.2,21.6,24.5,27.1,21.6,24.5,12.0,46.29,0.03,16.67,0.0,0.0,33.5,20.2,315.3,1013.8,57.3,16.0,210.8,10.6,7,0.75,rain
